student_id,name,age,gender,graduation_year,degree,major,gpa,internship_experience,skills,location,employed_after_grad,time_to_employment,predicted_job_title,actual_job_title,industry,skills_used,company_type,salary_range
BSU02679,Student 2679,25,Male,2020,Bachelor of Public Administration,Public Administration,1.93,Yes,"Budgeting, Governance",Tanauan,No,,Unemployed,,,,,
BSU04626,Student 4626,23,Female,2021,Bachelor of Science in Agriculture,Animal Science,1.01,No,"Animal Care, Feeding Management",Lipa,Yes,1.0,Animal Science Specialist,Animal Science Specialist,Law Enforcement,"Animal Care, Feeding Management",Public,31k-40k
BSU04950,Student 4950,25,Male,2024,Bachelor of Arts,English,1.21,No,"Literary Analysis, Writing",Lemery,No,,Unemployed,,,,,
BSU08329,Student 8329,23,Female,2020,Bachelor of Science,Biology,1.49,No,"Microscopy, Data Analysis",Tanauan,No,,Unemployed,,,,,
BSU03338,Student 3338,26,Male,2024,Bachelor of Elementary Education,General Education,1.64,No,General Skills,Tanauan,No,,Unemployed,,,,,
BSU05590,Student 5590,22,Male,2024,Bachelor of Industrial Technology,Electronics Technology,1.51,No,"Microcontrollers, Soldering",Lipa,No,,Unemployed,,,,,
BSU00252,Student 252,21,Male,2022,Bachelor of Science in Nursing,Nursing,1.3,No,"Patient Care, Vitals Monitoring",Tanauan,No,,Unemployed,,,,,
BSU03974,Student 3974,26,Male,2023,Bachelor of Industrial Technology,Automotive Technology,1.23,Yes,"Engine Repair, Diagnostics",Tanauan,Yes,2.0,Automotive Technology Specialist,Automotive Technology Specialist,Manufacturing,"Engine Repair, Diagnostics",Non-Profit,31k-40k
BSU06631,Student 6631,25,Female,2022,Bachelor of Science in Criminology,Criminology,1.43,No,"Crime Scene Investigation, Law Enforcement",Lemery,No,,Unemployed,,,,,
BSU05548,Student 5548,25,Female,2021,Bachelor of Elementary Education,General Education,1.26,Yes,General Skills,Nasugbu,Yes,2.0,General Education Specialist,General Education Specialist,IT,General Skills,Public,31k-40k
BSU00036,Student 36,26,Male,2020,Bachelor of Science in Criminology,Criminology,1.44,No,"Crime Scene Investigation, Law Enforcement",Lemery,Yes,2.0,Criminology Specialist,Criminology Specialist,Media,"Crime Scene Investigation, Law Enforcement",Private,41k-50k
BSU08363,Student 8363,22,Male,2021,Bachelor of Science in Nursing,Nursing,1.88,No,"First Aid, Vitals Monitoring",Lemery,Yes,2.0,Nursing Specialist,Nursing Specialist,Manufacturing,"First Aid, Vitals Monitoring",Non-Profit,41k-50k
BSU01514,Student 1514,26,Female,2021,Bachelor of Arts,Political Science,1.12,Yes,"Policy Analysis, Public Speaking",Batangas City,Yes,3.0,Political Science Specialist,Political Science Specialist,Law Enforcement,"Policy Analysis, Public Speaking",Private,31k-40k
BSU09318,Student 9318,22,Male,2022,Bachelor of Science in Agriculture,Animal Science,1.38,Yes,"Feeding Management, Animal Care",Batangas City,Yes,2.0,Animal Science Specialist,Animal Science Specialist,Education,"Feeding Management, Animal Care",Public,15k-20k
BSU00040,Student 40,24,Male,2021,Bachelor of Science in Agriculture,Agronomy,1.27,Yes,"Crop Management, Soil Analysis",Tanauan,Yes,2.0,Agronomy Specialist,Agronomy Specialist,Agriculture,"Crop Management, Soil Analysis",Public,31k-40k
BSU04820,Student 4820,24,Male,2020,Bachelor of Science in Nursing,Nursing,1.08,Yes,"First Aid, Patient Care",Tanauan,Yes,3.0,Nursing Specialist,Nursing Specialist,Agriculture,"First Aid, Patient Care",Private,15k-20k
BSU03466,Student 3466,23,Male,2020,Bachelor of Science in Nursing,Nursing,1.99,Yes,"Vitals Monitoring, First Aid",Lemery,Yes,1.0,Nursing Specialist,Nursing Specialist,Agriculture,"Vitals Monitoring, First Aid",Public,15k-20k
BSU01761,Student 1761,21,Male,2021,Bachelor of Science,Biology,1.63,No,"PCR, Lab Techniques",Tanauan,Yes,1.0,Biology Specialist,Biology Specialist,Law Enforcement,"PCR, Lab Techniques",Non-Profit,15k-20k
BSU02305,Student 2305,20,Female,2023,Bachelor of Science,Physics,1.14,Yes,"Lab Equipment, Simulation",Nasugbu,Yes,2.0,Physics Specialist,Physics Specialist,Government,"Lab Equipment, Simulation",Private,31k-40k
BSU03724,Student 3724,25,Male,2023,Bachelor of Industrial Technology,Electronics Technology,1.08,No,"Soldering, Microcontrollers",Tanauan,No,,Unemployed,,,,,
BSU08285,Student 8285,26,Male,2022,Bachelor of Industrial Technology,Electronics Technology,1.21,No,"Microcontrollers, Soldering",Nasugbu,No,,Unemployed,,,,,
BSU04994,Student 4994,22,Male,2020,Bachelor of Science in Agriculture,Agronomy,1.21,Yes,"Soil Analysis, Crop Management",Nasugbu,No,,Unemployed,,,,,
BSU08128,Student 8128,21,Female,2024,Bachelor of Science in Nursing,Nursing,1.93,No,"Patient Care, First Aid",Lemery,No,,Unemployed,,,,,
BSU03033,Student 3033,24,Male,2024,Bachelor of Industrial Technology,Automotive Technology,1.07,No,"Engine Repair, Diagnostics",Tanauan,No,,Unemployed,,,,,
BSU07939,Student 7939,24,Male,2021,Bachelor of Industrial Technology,Automotive Technology,1.29,Yes,"Diagnostics, Engine Repair",Lemery,No,,Unemployed,,,,,
BSU03040,Student 3040,25,Female,2021,Bachelor of Elementary Education,General Education,1.04,No,General Skills,Batangas City,Yes,1.0,General Education Specialist,General Education Specialist,Media,General Skills,Private,31k-40k
BSU09656,Student 9656,26,Female,2021,Bachelor of Science in Criminology,Criminology,1.64,Yes,"Law Enforcement, Crime Scene Investigation",Tanauan,Yes,2.0,Criminology Specialist,Criminology Specialist,Education,"Law Enforcement, Crime Scene Investigation",Non-Profit,41k-50k
BSU02546,Student 2546,26,Female,2023,Bachelor of Science in Agriculture,Agronomy,1.54,No,"Soil Analysis, Crop Management",Lipa,Yes,3.0,Agronomy Specialist,Agronomy Specialist,Healthcare,"Soil Analysis, Crop Management",Public,15k-20k
BSU02593,Student 2593,23,Female,2022,Bachelor of Elementary Education,General Education,1.8,Yes,General Skills,Lipa,Yes,1.0,General Education Specialist,General Education Specialist,IT,General Skills,Non-Profit,41k-50k
BSU01189,Student 1189,21,Male,2023,Bachelor of Public Administration,Public Administration,1.06,Yes,"Budgeting, Governance",Nasugbu,Yes,3.0,Public Administration Specialist,Public Administration Specialist,Healthcare,"Budgeting, Governance",Public,41k-50k
BSU07967,Student 7967,23,Female,2020,Bachelor of Industrial Technology,Electronics Technology,1.3,No,"Microcontrollers, Soldering",Lipa,No,,Unemployed,,,,,
BSU06078,Student 6078,21,Male,2024,Bachelor of Elementary Education,General Education,1.71,Yes,General Skills,Batangas City,Yes,2.0,General Education Specialist,General Education Specialist,Healthcare,General Skills,Private,15k-20k
BSU00108,Student 108,26,Male,2024,Bachelor of Science in Nursing,Nursing,2.0,No,"First Aid, Patient Care",Tanauan,Yes,2.0,Nursing Specialist,Nursing Specialist,Government,"First Aid, Patient Care",Public,21k-30k
BSU01316,Student 1316,25,Female,2024,Bachelor of Industrial Technology,Automotive Technology,1.74,Yes,"Diagnostics, Engine Repair",Nasugbu,Yes,3.0,Automotive Technology Specialist,Automotive Technology Specialist,Law Enforcement,"Diagnostics, Engine Repair",Private,31k-40k
BSU08188,Student 8188,25,Female,2020,Bachelor of Science in Agriculture,Agronomy,1.67,No,"Soil Analysis, Crop Management",Nasugbu,No,,Unemployed,,,,,
BSU02754,Student 2754,25,Female,2024,Bachelor of Science in Agriculture,Animal Science,1.78,Yes,"Animal Care, Feeding Management",Nasugbu,Yes,2.0,Animal Science Specialist,Animal Science Specialist,Government,"Animal Care, Feeding Management",Non-Profit,15k-20k
BSU09754,Student 9754,26,Female,2023,Bachelor of Science,Information Technology,1.14,Yes,"Python, SQL",Lemery,Yes,3.0,Information Technology Specialist,Information Technology Specialist,IT,"Python, SQL",Public,21k-30k
BSU06232,Student 6232,21,Female,2024,Bachelor of Secondary Education,Social Studies,1.92,Yes,"History, Geography",Nasugbu,No,,Unemployed,,,,,
BSU02877,Student 2877,25,Male,2024,Bachelor of Arts,Communication,1.41,No,"Editing, Public Speaking",Lemery,No,,Unemployed,,,,,
BSU05324,Student 5324,26,Female,2022,Bachelor of Science,Biology,1.74,Yes,"Data Analysis, PCR",Nasugbu,Yes,3.0,Biology Specialist,Biology Specialist,IT,"Data Analysis, PCR",Private,21k-30k
BSU00800,Student 800,21,Female,2023,Bachelor of Secondary Education,Science,1.87,No,General Skills,Lemery,No,,Unemployed,,,,,
BSU03571,Student 3571,23,Male,2024,Bachelor of Arts,Communication,1.65,No,"Public Speaking, Writing",Nasugbu,No,,Unemployed,,,,,
BSU02895,Student 2895,23,Male,2023,Bachelor of Science,Information Technology,1.87,No,"Python, Java",Batangas City,No,,Unemployed,,,,,
BSU02928,Student 2928,24,Female,2020,Bachelor of Science,Physics,1.73,No,"Lab Equipment, Quantum Mechanics",Lemery,No,,Unemployed,,,,,
BSU08179,Student 8179,26,Male,2022,Bachelor of Secondary Education,Mathematics,1.04,No,"Mathematica, Statistics",Tanauan,Yes,3.0,Mathematics Specialist,Mathematics Specialist,Healthcare,"Mathematica, Statistics",Public,15k-20k
BSU00972,Student 972,23,Male,2023,Bachelor of Arts,Communication,1.14,No,"Editing, Writing",Nasugbu,Yes,3.0,Communication Specialist,Communication Specialist,Media,"Editing, Writing",Non-Profit,31k-40k
BSU06688,Student 6688,23,Female,2024,Bachelor of Industrial Technology,Automotive Technology,1.26,No,"Diagnostics, Engine Repair",Nasugbu,Yes,2.0,Automotive Technology Specialist,Automotive Technology Specialist,Education,"Diagnostics, Engine Repair",Private,31k-40k
BSU08576,Student 8576,21,Female,2021,Bachelor of Science in Agriculture,Animal Science,1.43,Yes,"Animal Care, Feeding Management",Tanauan,Yes,1.0,Animal Science Specialist,Animal Science Specialist,Manufacturing,"Animal Care, Feeding Management",Non-Profit,31k-40k
BSU02021,Student 2021,26,Female,2021,Bachelor of Elementary Education,General Education,1.53,Yes,General Skills,Lipa,Yes,1.0,General Education Specialist,General Education Specialist,Education,General Skills,Non-Profit,21k-30k
BSU09055,Student 9055,26,Female,2021,Bachelor of Industrial Technology,Electronics Technology,1.96,Yes,"Soldering, Microcontrollers",Lemery,Yes,3.0,Electronics Technology Specialist,Electronics Technology Specialist,Media,"Soldering, Microcontrollers",Public,21k-30k
BSU00953,Student 953,21,Male,2022,Bachelor of Science in Nursing,Nursing,1.57,No,"Patient Care, Vitals Monitoring",Tanauan,No,,Unemployed,,,,,
BSU05360,Student 5360,22,Female,2023,Bachelor of Arts,Political Science,1.31,No,"Policy Analysis, Research",Nasugbu,Yes,1.0,Political Science Specialist,Political Science Specialist,Healthcare,"Policy Analysis, Research",Private,21k-30k
BSU03858,Student 3858,21,Female,2023,Bachelor of Industrial Technology,Automotive Technology,1.6,Yes,"Engine Repair, Diagnostics",Lemery,No,,Unemployed,,,,,
BSU05862,Student 5862,25,Male,2023,Bachelor of Secondary Education,Mathematics,1.85,Yes,"Statistics, Mathematica",Batangas City,Yes,3.0,Mathematics Specialist,Mathematics Specialist,Manufacturing,"Statistics, Mathematica",Public,15k-20k
BSU03146,Student 3146,22,Female,2024,Bachelor of Science,Biology,1.82,No,"PCR, Lab Techniques",Lemery,No,,Unemployed,,,,,
BSU03306,Student 3306,22,Male,2021,Bachelor of Science in Criminology,Criminology,1.38,Yes,"Law Enforcement, Crime Scene Investigation",Nasugbu,Yes,1.0,Criminology Specialist,Criminology Specialist,Media,"Law Enforcement, Crime Scene Investigation",Non-Profit,31k-40k
BSU03007,Student 3007,21,Male,2022,Bachelor of Arts,Filipino,1.96,No,"Teaching, Writing",Nasugbu,No,,Unemployed,,,,,
BSU09002,Student 9002,23,Male,2024,Bachelor of Public Administration,Public Administration,1.48,No,"Budgeting, Governance",Tanauan,Yes,2.0,Public Administration Specialist,Public Administration Specialist,Media,"Budgeting, Governance",Private,41k-50k
BSU07771,Student 7771,24,Female,2022,Bachelor of Arts,Political Science,1.58,Yes,"Research, Public Speaking",Tanauan,Yes,3.0,Political Science Specialist,Political Science Specialist,Healthcare,"Research, Public Speaking",Public,41k-50k
BSU07439,Student 7439,25,Female,2021,Bachelor of Science in Agriculture,Agronomy,1.88,No,"Crop Management, Soil Analysis",Batangas City,No,,Unemployed,,,,,
BSU07943,Student 7943,24,Female,2021,Bachelor of Science in Nursing,Nursing,1.85,Yes,"First Aid, Patient Care",Tanauan,Yes,2.0,Nursing Specialist,Nursing Specialist,Healthcare,"First Aid, Patient Care",Non-Profit,21k-30k
BSU09239,Student 9239,23,Male,2022,Bachelor of Science in Nursing,Nursing,1.58,No,"Patient Care, Vitals Monitoring",Lipa,No,,Unemployed,,,,,
BSU01057,Student 1057,22,Female,2021,Bachelor of Secondary Education,Social Studies,1.31,No,"History, Geography",Lipa,No,,Unemployed,,,,,
BSU03155,Student 3155,26,Male,2021,Bachelor of Industrial Technology,Automotive Technology,1.29,Yes,"Engine Repair, Diagnostics",Lipa,Yes,1.0,Automotive Technology Specialist,Automotive Technology Specialist,Manufacturing,"Engine Repair, Diagnostics",Private,15k-20k
BSU03788,Student 3788,22,Female,2021,Bachelor of Science in Criminology,Criminology,1.75,No,"Law Enforcement, Crime Scene Investigation",Lemery,Yes,1.0,Criminology Specialist,Criminology Specialist,IT,"Law Enforcement, Crime Scene Investigation",Private,31k-40k
BSU09190,Student 9190,24,Male,2020,Bachelor of Science in Nursing,Nursing,1.02,No,"Vitals Monitoring, Patient Care",Batangas City,Yes,3.0,Nursing Specialist,Nursing Specialist,IT,"Vitals Monitoring, Patient Care",Public,41k-50k
BSU07826,Student 7826,21,Female,2020,Bachelor of Elementary Education,General Education,1.28,Yes,General Skills,Tanauan,Yes,3.0,General Education Specialist,General Education Specialist,Agriculture,General Skills,Non-Profit,41k-50k
BSU07540,Student 7540,22,Male,2020,Bachelor of Science,Information Technology,1.66,No,"SQL, HTML",Tanauan,No,,Unemployed,,,,,
BSU07232,Student 7232,22,Female,2023,Bachelor of Science in Nursing,Nursing,1.96,Yes,"Vitals Monitoring, Patient Care",Tanauan,No,,Unemployed,,,,,
BSU00765,Student 765,25,Female,2022,Bachelor of Science in Agriculture,Agronomy,1.13,No,"Soil Analysis, Crop Management",Nasugbu,No,,Unemployed,,,,,
BSU05020,Student 5020,23,Male,2020,Bachelor of Arts,English,1.87,No,"Literary Analysis, Writing",Lemery,Yes,2.0,English Specialist,English Specialist,Education,"Literary Analysis, Writing",Public,41k-50k
BSU04904,Student 4904,24,Female,2024,Bachelor of Science in Agriculture,Agronomy,1.37,No,"Soil Analysis, Crop Management",Tanauan,Yes,3.0,Agronomy Specialist,Agronomy Specialist,Education,"Soil Analysis, Crop Management",Public,21k-30k
BSU08094,Student 8094,23,Male,2022,Bachelor of Science in Agriculture,Agronomy,1.3,Yes,"Crop Management, Soil Analysis",Lipa,Yes,1.0,Agronomy Specialist,Agronomy Specialist,Media,"Crop Management, Soil Analysis",Non-Profit,41k-50k
BSU06844,Student 6844,22,Male,2020,Bachelor of Industrial Technology,Electronics Technology,1.53,Yes,"Soldering, Microcontrollers",Lemery,No,,Unemployed,,,,,
BSU02166,Student 2166,21,Male,2020,Bachelor of Arts,Communication,1.89,No,"Editing, Writing",Nasugbu,No,,Unemployed,,,,,
BSU01863,Student 1863,26,Female,2021,Bachelor of Science in Criminology,Criminology,1.54,Yes,"Law Enforcement, Crime Scene Investigation",Lipa,Yes,3.0,Criminology Specialist,Criminology Specialist,Education,"Law Enforcement, Crime Scene Investigation",Private,21k-30k
BSU07851,Student 7851,23,Male,2024,Bachelor of Public Administration,Public Administration,1.63,No,"Governance, Budgeting",Lemery,No,,Unemployed,,,,,
BSU09124,Student 9124,23,Male,2020,Bachelor of Science in Criminology,Criminology,1.43,No,"Law Enforcement, Crime Scene Investigation",Batangas City,No,,Unemployed,,,,,
BSU02341,Student 2341,25,Male,2022,Bachelor of Industrial Technology,Electrical Technology,1.41,No,"Wiring, Circuit Design",Nasugbu,No,,Unemployed,,,,,
BSU05528,Student 5528,22,Female,2021,Bachelor of Science,Information Technology,1.51,Yes,"CSS, Python",Lemery,No,,Unemployed,,,,,
BSU06744,Student 6744,26,Female,2024,Bachelor of Science in Criminology,Criminology,1.47,Yes,"Crime Scene Investigation, Law Enforcement",Tanauan,Yes,1.0,Criminology Specialist,Criminology Specialist,Media,"Crime Scene Investigation, Law Enforcement",Public,31k-40k
BSU04004,Student 4004,20,Male,2023,Bachelor of Science in Nursing,Nursing,1.97,No,"First Aid, Vitals Monitoring",Lipa,Yes,2.0,Nursing Specialist,Nursing Specialist,Healthcare,"First Aid, Vitals Monitoring",Public,31k-40k
BSU01124,Student 1124,21,Female,2022,Bachelor of Science,Biology,1.18,No,"Lab Techniques, PCR",Lemery,No,,Unemployed,,,,,
BSU08710,Student 8710,25,Female,2023,Bachelor of Science,Computer Science,1.28,Yes,"Data Structures, Machine Learning",Lemery,Yes,1.0,Computer Science Specialist,Computer Science Specialist,Agriculture,"Data Structures, Machine Learning",Non-Profit,41k-50k
BSU04050,Student 4050,25,Female,2020,Bachelor of Secondary Education,Science,1.71,Yes,General Skills,Lipa,No,,Unemployed,,,,,
BSU07641,Student 7641,25,Female,2020,Bachelor of Science in Agriculture,Agronomy,1.86,Yes,"Soil Analysis, Crop Management",Lipa,No,,Unemployed,,,,,
BSU00766,Student 766,22,Female,2023,Bachelor of Industrial Technology,Automotive Technology,1.04,No,"Diagnostics, Engine Repair",Nasugbu,Yes,2.0,Automotive Technology Specialist,Automotive Technology Specialist,IT,"Diagnostics, Engine Repair",Public,15k-20k
BSU02345,Student 2345,21,Female,2020,Bachelor of Secondary Education,Social Studies,1.28,Yes,"History, Geography",Tanauan,No,,Unemployed,,,,,
BSU04072,Student 4072,22,Female,2024,Bachelor of Arts,Political Science,1.2,No,"Policy Analysis, Public Speaking",Nasugbu,Yes,3.0,Political Science Specialist,Political Science Specialist,Education,"Policy Analysis, Public Speaking",Non-Profit,41k-50k
BSU07217,Student 7217,25,Male,2022,Bachelor of Science in Agriculture,Animal Science,1.67,Yes,"Feeding Management, Animal Care",Tanauan,Yes,1.0,Animal Science Specialist,Animal Science Specialist,Manufacturing,"Feeding Management, Animal Care",Private,15k-20k
BSU04217,Student 4217,20,Female,2024,Bachelor of Science in Agriculture,Agronomy,1.27,Yes,"Crop Management, Soil Analysis",Tanauan,Yes,2.0,Agronomy Specialist,Agronomy Specialist,Media,"Crop Management, Soil Analysis",Non-Profit,15k-20k
BSU07953,Student 7953,22,Male,2023,Bachelor of Public Administration,Public Administration,1.26,Yes,"Budgeting, Governance",Batangas City,Yes,3.0,Public Administration Specialist,Public Administration Specialist,Media,"Budgeting, Governance",Private,31k-40k
BSU05971,Student 5971,26,Female,2021,Bachelor of Public Administration,Public Administration,1.98,No,"Budgeting, Governance",Lemery,Yes,3.0,Public Administration Specialist,Public Administration Specialist,Healthcare,"Budgeting, Governance",Non-Profit,41k-50k
BSU03351,Student 3351,23,Female,2024,Bachelor of Science in Nursing,Nursing,1.16,Yes,"First Aid, Patient Care",Batangas City,Yes,1.0,Nursing Specialist,Nursing Specialist,Government,"First Aid, Patient Care",Private,41k-50k
BSU04696,Student 4696,23,Male,2022,Bachelor of Secondary Education,English,1.86,Yes,"Writing, Editing",Batangas City,Yes,1.0,English Specialist,English Specialist,Education,"Writing, Editing",Public,41k-50k
BSU03400,Student 3400,23,Female,2022,Bachelor of Public Administration,Public Administration,1.15,Yes,"Governance, Budgeting",Batangas City,Yes,1.0,Public Administration Specialist,Public Administration Specialist,Law Enforcement,"Governance, Budgeting",Private,41k-50k
BSU04082,Student 4082,26,Female,2022,Bachelor of Science in Criminology,Criminology,1.84,Yes,"Law Enforcement, Crime Scene Investigation",Lemery,Yes,2.0,Criminology Specialist,Criminology Specialist,Government,"Law Enforcement, Crime Scene Investigation",Public,41k-50k
BSU09150,Student 9150,26,Female,2024,Bachelor of Science in Nursing,Nursing,1.31,Yes,"Patient Care, First Aid",Nasugbu,Yes,3.0,Nursing Specialist,Nursing Specialist,IT,"Patient Care, First Aid",Public,21k-30k
BSU01225,Student 1225,25,Female,2023,Bachelor of Science in Nursing,Nursing,1.9,No,"Patient Care, Vitals Monitoring",Lemery,Yes,1.0,Nursing Specialist,Nursing Specialist,Law Enforcement,"Patient Care, Vitals Monitoring",Public,41k-50k
BSU06293,Student 6293,21,Male,2024,Bachelor of Industrial Technology,Automotive Technology,1.56,No,"Diagnostics, Engine Repair",Lipa,No,,Unemployed,,,,,
BSU03123,Student 3123,22,Male,2022,Bachelor of Science,Biology,1.04,Yes,"Lab Techniques, Data Analysis",Lemery,Yes,1.0,Biology Specialist,Biology Specialist,Agriculture,"Lab Techniques, Data Analysis",Public,31k-40k
BSU00511,Student 511,26,Male,2022,Bachelor of Secondary Education,Science,1.43,No,General Skills,Tanauan,Yes,1.0,Science Specialist,Science Specialist,Government,General Skills,Private,15k-20k
BSU05795,Student 5795,22,Female,2023,Bachelor of Elementary Education,General Education,1.91,Yes,General Skills,Nasugbu,No,,Unemployed,,,,,
BSU08182,Student 8182,26,Male,2021,Bachelor of Secondary Education,Social Studies,1.04,No,"History, Geography",Lipa,Yes,3.0,Social Studies Specialist,Social Studies Specialist,Manufacturing,"History, Geography",Private,15k-20k
BSU09418,Student 9418,20,Female,2023,Bachelor of Secondary Education,English,1.4,Yes,"Editing, Writing",Nasugbu,Yes,2.0,English Specialist,English Specialist,IT,"Editing, Writing",Private,31k-40k
